level,CLP_ID,node_bf,License_Type,Region,Sub_Region_Group,node_af,level1
1,da91ecc8-74d1-4c89-94f0-afd310167417,Current Onboard,Paid,Europe,Benelux,Only UI,1
1,3e843123-faa9-4913-8702-7153af0151c7,Current Onboard,Trial,AMEA,MMEA,No usage,1
1,452c9b16-34af-4e4a-b9d2-24ca4072865d,Current Onboard,Paid,Europe,Germany,No usage,1
1,cafd3fec-747f-4dbe-ac8f-5c8557a51f53,Current Onboard,Paid,AMEA,APAC exclude Pan Asia,No usage,1
1,02c2eb00-9d07-478c-9597-f83f23bd96f8,Current Onboard,Paid,Europe,Southern Europe,No usage,1
1,67af8a42-2f14-4ab0-904e-9a58d00254c2,Current Onboard,Trial,Europe,Southern Europe,Only UI,1
1,88d8e0ad-781e-4f48-b7e4-8dece3a99a13,Current Onboard,Paid,Japan,Japan,Only UI,1
1,80c23b5f-bf82-43ab-a144-c605a0b55a12,Current Onboard,Paid,Americas,Latin America,Only UI,1
1,600e055d-db47-4559-816b-f6faab210336,Current Onboard,Trial,Europe,CEE,No usage,1
1,1856664a-f1ac-4e15-b802-f83bfaf9debc,Current Onboard,Paid,Americas,North America,Only UI,1
1,8245a954-5b73-410e-bf89-b5a015280728,Current Onboard,Paid,Americas,North America,Only UI,1
1,d377552b-03fc-401a-b5fa-97c75ee7b6f4,Current Onboard,Trial,AMEA,APAC exclude Pan Asia,No usage,1
1,cfbf038d-7ae7-4e5e-8929-33e92c04a3cd,Current Onboard,Paid,AMEA,MMEA,Only UI,1
1,3a40beaf-4b29-4990-86e4-7126baa82e19,Current Onboard,Paid,Europe,Benelux,Only UI,1
1,ded9ebf4-1b0b-4ff0-b6e6-49ff7d134c46,Current Onboard,Paid,Americas,Latin America,No usage,1
1,1659dcbf-26a9-4ed0-afe5-77a24d339569,Current Onboard,Paid,AMEA,APAC exclude Pan Asia,Only UI,1
1,21371052-71ed-41ee-b421-a5aa6239c89a,Current Onboard,Paid,Japan,Japan,No usage,1
1,2f6006ee-7e96-4233-88e4-32d7392838da,Current Onboard,Paid,Europe,UK Region,No usage,1
1,e0d3691c-c1a9-4999-8ee4-04887b3c4850,Current Onboard,Paid,Europe,UK Region,Only UI,1
1,ec67d6c5-6066-48c3-9ca5-0305809dac1c,Current Onboard,Paid,AMEA,APAC exclude Pan Asia,Only UI,1
1,aedae023-9f20-4189-b1d0-5e887c1b8613,Current Onboard,Essential Access,Japan,Japan,Only UI,1
1,c39b084e-19f5-420f-b355-0f327d23808c,Current Onboard,Paid,Americas,North America,No usage,1
1,92221d03-b84a-4aa3-a0d6-7e56e219004c,Current Onboard,Trial,Europe,CEE,No usage,1
1,37de45ba-f52b-4f3d-a363-0c253481290b,Current Onboard,Paid,Americas,Latin America,Only UI,1
1,fafc03b2-8103-4a1b-b203-2cded95f058b,Current Onboard,Paid,Americas,Latin America,Only UI,1
1,07549167-40aa-4237-851d-80c3ebd94cd4,Current Onboard,Paid,Americas,Latin America,No usage,1
1,1b87bfd7-701e-4227-9cdc-9e2919c1e9a4,Current Onboard,Paid,Americas,North America,No usage,1
